BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.8
l,2.8e-07
w,5.6e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000268553
gm,0.00114679
gds,7.34854e-05
vdsat,1.30944
vth,0.588472
id,0.00284962
ibd,-3.29872e-12
ibs,-1.28234e-15
gbd,1e-12
gbs,1.00001e-12
isub,9.06385e-07
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00128233
vgs,3.29872
vds,3.29743
cgg,4.87275e-15
cgs,-4.16015e-15
cgd,7.47224e-17
cbg,-7.45237e-16
cbd,1.64358e-17
cbs,-9.07947e-16
cdg,-1.65171e-15
cdd,-3.56799e-17
cds,2.02731e-15
csg,-2.4758e-15
csd,-5.54783e-17
css,3.04079e-15
cgb,-7.87318e-16
cdb,-3.39918e-16
csb,-5.09512e-16
cbb,1.63675e-15
capbd,2.28093e-15
capbs,3.90436e-15
qg,1.69363e-14
qb,-5.31048e-15
qd,-4.65102e-15
qs,-6.97485e-15
qinv,1.1527e-14
qdef,0
gcrg,0
gtau,0

