BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.14
l,2.24e-06
w,1.12e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000472822
gm,0.000900686
gds,6.19335e-06
vdsat,2.11512
vth,0.667091
id,0.00155778
ibd,-3.2993e-12
ibs,-7.01001e-16
gbd,1e-12
gbs,1e-12
isub,2.00816e-10
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000701001
vgs,3.2993
vds,3.2986
cgg,7.67778e-14
cgs,-7.88641e-14
cgd,-1.91106e-17
cbg,-1.08309e-14
cbd,-9.27466e-18
cbs,-1.48939e-14
cdg,-2.63894e-14
cdd,2.26083e-17
cds,3.75072e-14
csg,-3.95575e-14
csd,5.77696e-18
css,5.62509e-14
cgb,2.10546e-15
cdb,-1.11404e-14
csb,-1.66991e-14
cbb,2.57341e-14
capbd,4.18641e-15
capbs,7.20915e-15
qg,2.73654e-13
qb,-1.00005e-13
qd,-6.94696e-14
qs,-1.0418e-13
qinv,1.78898e-13
qdef,0
gcrg,0
gtau,0

