BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.13
l,1.12e-06
w,4.48e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00265752
gm,0.00539002
gds,5.09779e-05
vdsat,1.90194
vth,0.687389
id,0.0104037
ibd,-3.29532e-12
ibs,-4.68165e-15
gbd,1e-12
gbs,1e-12
isub,1.65798e-08
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00468165
vgs,3.29532
vds,3.29064
cgg,1.50771e-13
cgs,-1.49903e-13
cgd,-4.51561e-17
cbg,-1.88967e-14
cbd,-1.79908e-17
cbs,-3.57736e-14
cdg,-5.2774e-14
cdd,5.03073e-17
cds,7.42797e-14
csg,-7.91e-14
csd,1.28396e-17
css,1.11397e-13
cgb,-8.22727e-16
cdb,-2.1556e-14
csb,-3.23096e-14
cbb,5.46883e-14
capbd,1.59128e-14
capbs,2.73239e-14
qg,5.30235e-13
qb,-1.90372e-13
qd,-1.35966e-13
qs,-2.03897e-13
qinv,3.54486e-13
qdef,0
gcrg,0
gtau,0

