BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.10
l,2.24e-06
w,5.6e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000233833
gm,0.000449038
gds,3.13498e-06
vdsat,2.11173
vth,0.666532
id,0.000773237
ibd,-3.29965e-12
ibs,-3.4796e-16
gbd,1e-12
gbs,1.00001e-12
isub,1.07908e-10
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000347957
vgs,3.29965
vds,3.2993
cgg,3.8433e-14
cgs,-3.95429e-14
cgd,-9.36368e-18
cbg,-5.46072e-15
cbd,-4.60144e-18
cbs,-7.33566e-15
cdg,-1.31941e-14
cdd,1.11232e-17
cds,1.87534e-14
csg,-1.97781e-14
csd,2.84193e-18
css,2.81252e-14
cgb,1.11926e-15
cdb,-5.57038e-15
csb,-8.34987e-15
cbb,1.2801e-14
capbd,2.28076e-15
capbs,3.90593e-15
qg,1.36889e-13
qb,-5.01407e-14
qd,-3.4704e-14
qs,-5.20441e-14
qinv,8.94798e-14
qdef,0
gcrg,0
gtau,0

