BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.14
l,2.24e-06
w,4.48e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00188844
gm,0.00360496
gds,2.47964e-05
vdsat,2.11278
vth,0.667929
id,0.00622751
ibd,-3.2972e-12
ibs,-2.80238e-15
gbd,1e-12
gbs,1e-12
isub,7.78101e-10
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00280238
vgs,3.2972
vds,3.2944
cgg,3.07083e-13
cgs,-3.15317e-13
cgd,-7.67733e-17
cbg,-4.32929e-14
cbd,-3.72194e-17
cbs,-5.95846e-14
cdg,-1.05559e-13
cdd,9.07922e-17
cds,1.49977e-13
csg,-1.58232e-13
csd,2.32005e-17
css,2.24925e-13
cgb,8.31053e-15
cdb,-4.45086e-14
csb,-6.67167e-14
cbb,1.02915e-13
capbd,1.59104e-14
capbs,2.7346e-14
qg,1.09396e-12
qb,-4.00144e-13
qd,-2.77563e-13
qs,-4.16248e-13
qinv,7.1479e-13
qdef,0
gcrg,0
gtau,0

