BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.12
l,2.8e-07
w,1.12e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000534584
gm,0.00228218
gds,0.000145551
vdsat,1.30578
vth,0.588295
id,0.00568576
ibd,-3.29744e-12
ibs,-2.55859e-15
gbd,1e-12
gbs,1e-12
isub,1.78708e-06
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00255859
vgs,3.29744
vds,3.29488
cgg,7.7645e-15
cgs,-6.64523e-15
cgd,1.19907e-16
cbg,-1.27796e-15
cbd,2.37965e-17
cbs,-1.32087e-15
cdg,-2.59558e-15
cdd,-5.63916e-17
cds,3.18652e-15
csg,-3.89096e-15
csd,-8.73121e-17
css,4.77958e-15
cgb,-1.23918e-15
cdb,-5.34546e-16
csb,-8.0131e-16
cbb,2.57503e-15
capbd,4.18703e-15
capbs,7.20336e-15
qg,2.70089e-14
qb,-8.63464e-15
qd,-7.35068e-15
qs,-1.10236e-14
qinv,1.81061e-14
qdef,0
gcrg,0
gtau,0

