BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.9
l,1.12e-06
w,5.6e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000332045
gm,0.000675647
gds,6.70966e-06
vdsat,1.90346
vth,0.685179
id,0.00129868
ibd,-3.29942e-12
ibs,-5.84413e-16
gbd,1e-12
gbs,1.00001e-12
isub,2.23725e-09
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000584407
vgs,3.29942
vds,3.29883
cgg,1.88847e-14
cgs,-1.88376e-14
cgd,-5.4686e-18
cbg,-2.40098e-15
cbd,-2.22969e-18
cbs,-4.38804e-15
cdg,-6.59645e-15
cdd,6.13333e-18
cds,9.29137e-15
csg,-9.88724e-15
csd,1.56496e-18
css,1.39343e-14
cgb,-4.16355e-17
cdb,-2.70105e-15
csb,-4.04858e-15
cbb,6.79126e-15
capbd,2.28081e-15
capbs,3.90553e-15
qg,6.64607e-14
qb,-2.38725e-14
qd,-1.70378e-14
qs,-2.55504e-14
qinv,4.44179e-14
qdef,0
gcrg,0
gtau,0

