BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.13
l,5.6e-07
w,2.24e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00145946
gm,0.00361242
gds,6.79383e-05
vdsat,1.56031
vth,0.708224
id,0.00780782
ibd,-3.29649e-12
ibs,-3.51352e-15
gbd,1e-12
gbs,1e-12
isub,3.44157e-07
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00351352
vgs,3.29649
vds,3.29297
cgg,3.78202e-14
cgs,-3.58735e-14
cgd,3.85248e-18
cbg,-4.86411e-15
cbd,5.15925e-19
cbs,-9.56581e-15
cdg,-1.31881e-14
cdd,4.06594e-18
cds,1.81778e-14
csg,-1.9768e-14
csd,-8.43434e-18
css,2.72616e-14
cgb,-1.95051e-15
cdb,-4.99371e-15
csb,-7.48518e-15
cbb,1.44294e-14
capbd,8.09534e-15
capbs,1.39128e-14
qg,1.32067e-13
qb,-4.78094e-14
qd,-3.37081e-14
qs,-5.055e-14
qinv,8.79019e-14
qdef,0
gcrg,0
gtau,0

