BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmn.m0
model,nfet_03v3.13
l,1.12e-06
w,2.24e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00133174
gm,0.00269478
gds,2.54774e-05
vdsat,1.90393
vth,0.686486
id,0.00520919
ibd,-3.29766e-12
ibs,-2.34413e-15
gbd,1e-12
gbs,1e-12
isub,8.56136e-09
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00234413
vgs,3.29766
vds,3.29531
cgg,7.53913e-14
cgs,-7.49762e-14
cgd,-2.24775e-17
cbg,-9.45507e-15
cbd,-8.96437e-18
cbs,-1.78974e-14
cdg,-2.63867e-14
cdd,2.5049e-17
cds,3.7154e-14
csg,-3.95496e-14
csd,6.39278e-18
css,5.57196e-14
cgb,-3.92598e-16
cdb,-1.07924e-14
csb,-1.61764e-14
cbb,2.73614e-14
capbd,8.09459e-15
capbs,1.39198e-14
qg,2.65292e-13
qb,-9.51443e-14
qd,-6.80695e-14
qs,-1.02079e-13
qinv,1.77464e-13
qdef,0
gcrg,0
gtau,0

