BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.10
l,2.24e-06
w,2.8e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,3.06867e-05
gm,6.15311e-05
gds,4.36103e-07
vdsat,1.93609
vth,0.773826
id,8.77743e-05
ibd,-3.3074e-12
ibs,-3.95047e-17
gbd,1.00825e-12
gbs,1.00016e-12
isub,4.63861e-15
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-3.94984e-05
vgs,3.29996
vds,3.29992
cgg,2.06289e-14
cgs,-2.06716e-14
cgd,-2.83135e-18
cbg,-3.60552e-15
cbd,-2.06678e-18
cbs,-5.20716e-15
cdg,-6.81114e-15
cdd,3.90332e-18
cds,1.03525e-14
csg,-1.02123e-14
csd,9.94807e-19
css,1.55262e-14
cgb,4.55022e-17
cdb,-3.54526e-15
csb,-5.31499e-15
cbb,8.81475e-15
capbd,1.61579e-15
capbs,2.2983e-15
qg,7.5613e-14
qb,-3.17774e-14
qd,-1.75362e-14
qs,-2.62995e-14
qinv,4.40485e-14
qdef,-0
gcrg,0
gtau,0

