BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.12
l,2.8e-07
w,2.24e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00103604
gm,0.00279164
gds,0.000239227
vdsat,1.88667
vth,0.706727
id,0.00557389
ibd,-3.30491e-12
ibs,-2.50854e-15
gbd,1.00823e-12
gbs,1.00012e-12
isub,5.12754e-11
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00250825
vgs,3.29749
vds,3.29498
cgg,2.14912e-14
cgs,-1.80186e-14
cgd,1.52626e-16
cbg,-3.60266e-15
cbd,6.06579e-17
cbs,-5.87578e-15
cdg,-7.15783e-15
cdd,-8.26487e-17
cds,9.55833e-15
csg,-1.07307e-14
csd,-1.30636e-16
css,1.43361e-14
cgb,-3.62524e-15
cdb,-2.31785e-15
csb,-3.47468e-15
cbb,9.41778e-15
capbd,7.5081e-15
capbs,1.12253e-14
qg,7.83459e-14
qb,-2.9641e-14
qd,-1.94844e-14
qs,-2.92205e-14
qinv,4.74619e-14
qdef,-0
gcrg,0
gtau,0

