BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.10
l,4.48e-06
w,5.6e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,3.04089e-05
gm,6.13559e-05
gds,2.10438e-07
vdsat,1.90794
vth,0.769999
id,8.64992e-05
ibd,-3.3074e-12
ibs,-3.89295e-17
gbd,1.00825e-12
gbs,1.00013e-12
isub,2.45485e-15
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-3.89247e-05
vgs,3.29996
vds,3.29992
cgg,8.19334e-14
cgs,-8.26818e-14
cgd,-1.11152e-17
cbg,-1.41076e-14
cbd,-7.86304e-18
cbs,-2.09071e-14
cdg,-2.71374e-14
cdd,1.51239e-17
cds,4.14397e-14
csg,-4.06885e-14
csd,3.85426e-18
css,6.21492e-14
cgb,7.59483e-16
cdb,-1.43175e-14
csb,-2.14646e-14
cbb,3.50226e-14
capbd,2.13079e-15
capbs,3.22039e-15
qg,3.00115e-13
qb,-1.28528e-13
qd,-6.86424e-14
qs,-1.02945e-13
qinv,1.75845e-13
qdef,-0
gcrg,0
gtau,0

