BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.14
l,2.24e-06
w,2.24e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000249332
gm,0.000495893
gds,3.45555e-06
vdsat,1.93936
vth,0.774308
id,0.000710103
ibd,-3.30711e-12
ibs,-3.19583e-16
gbd,1.00825e-12
gbs,1.00012e-12
isub,3.65714e-14
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000319546
vgs,3.29968
vds,3.29936
cgg,1.64925e-13
cgs,-1.65091e-13
cgd,-2.28417e-17
cbg,-2.87384e-14
cbd,-1.65678e-17
cbs,-4.17886e-14
cdg,-5.44891e-14
cdd,3.14052e-17
cds,8.276e-14
csg,-8.16978e-14
csd,8.00431e-18
css,1.2412e-13
cgb,1.8882e-16
cdb,-2.83023e-14
csb,-4.24302e-14
cbb,7.05436e-14
capbd,7.50717e-15
capbs,1.12338e-14
qg,6.04534e-13
qb,-2.53955e-13
qd,-1.40247e-13
qs,-2.10332e-13
qinv,3.52279e-13
qdef,-0
gcrg,0
gtau,0

