BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.13
l,1.12e-06
w,2.24e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.000498717
gm,0.000983189
gds,1.44081e-05
vdsat,1.9702
vth,0.782371
id,0.00146058
ibd,-3.30677e-12
ibs,-6.57337e-16
gbd,1.00824e-12
gbs,1.00012e-12
isub,3.49404e-14
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000657261
vgs,3.29934
vds,3.29869
cgg,8.30871e-14
cgs,-8.18207e-14
cgd,-1.26532e-17
cbg,-1.44661e-14
cbd,-9.17651e-18
cbs,-2.13919e-14
cdg,-2.74562e-14
cdd,1.74179e-17
cds,4.12889e-14
csg,-4.11648e-14
csd,4.41179e-18
css,6.19237e-14
cgb,-1.25367e-15
cdb,-1.38502e-14
csb,-2.07634e-14
cbb,3.58672e-14
capbd,7.50731e-15
capbs,1.12325e-14
qg,3.05202e-13
qb,-1.23309e-13
qd,-7.27655e-14
qs,-1.09128e-13
qinv,1.76779e-13
qdef,-0
gcrg,0
gtau,0

