BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.10
l,4.48e-06
w,2.8e-06
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,1.50405e-05
gm,3.05469e-05
gds,1.04808e-07
vdsat,1.9056
vth,0.76989
id,4.29292e-05
ibd,-3.30742e-12
ibs,-1.93212e-17
gbd,1.00825e-12
gbs,1.00016e-12
isub,1.20513e-15
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-1.93181e-05
vgs,3.29998
vds,3.29996
cgg,4.09764e-14
cgs,-4.13697e-14
cgd,-5.54116e-18
cbg,-7.06349e-15
cbd,-3.92913e-18
cbs,-1.04492e-14
cdg,-1.35687e-14
cdd,7.547e-18
cds,2.07297e-14
csg,-2.03443e-14
csd,1.92329e-18
css,3.10893e-14
cgb,3.98866e-16
cdb,-7.16853e-15
csb,-1.0747e-14
cbb,1.75167e-14
capbd,1.61579e-15
capbs,2.29832e-15
qg,1.50087e-13
qb,-6.42887e-14
qd,-3.4323e-14
qs,-5.14753e-14
qinv,8.79269e-14
qdef,-0
gcrg,0
gtau,0

