BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.12
l,2.8e-07
w,4.48e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00206609
gm,0.00557895
gds,0.00047833
vdsat,1.88482
vth,0.70756
id,0.0111216
ibd,-3.30239e-12
ibs,-5.0053e-15
gbd,1.00821e-12
gbs,1.00012e-12
isub,9.75557e-11
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.00500472
vgs,3.295
vds,3.28999
cgg,4.29805e-14
cgs,-3.60318e-14
cgd,3.05853e-16
cbg,-7.20288e-15
cbd,1.21301e-16
cbs,-1.17365e-14
cdg,-1.43159e-14
cdd,-1.65507e-16
cds,1.91085e-14
csg,-2.14618e-14
csd,-2.61647e-16
css,2.86598e-14
cgb,-7.2546e-15
cdb,-4.62709e-15
csb,-6.93643e-15
cbb,1.88181e-14
capbd,1.47463e-14
capbs,2.19562e-14
qg,1.56601e-13
qb,-5.93117e-14
qd,-3.89206e-14
qs,-5.83687e-14
qinv,9.48017e-14
qdef,-0
gcrg,0
gtau,0

