BSIM4v5:,Berkeley,Short,Channel,IGFET,Model-4
device,m.xmp.m0
model,pfet_03v3.14
l,4.48e-06
w,4.48e-05
m,1
nf,1
sa,0
sb,0
sd,0
sca,0
scb,0
scc,0
sc,0
min,0
ad,5.04e-13
as,5.04e-13
pd,5.96e-06
ps,5.96e-06
nrd,0.0642857
nrs,0.0642857
off,0
rbdb,50
rbsb,50
rbpb,50
rbps,50
rbpd,50
delvto,0
mulu0,1
xgw,0
ngcon,1
trnqsmod,0
acnqsmod,0
rbodymod,0
rgatemod,0
geomod,0
rgeomod,0
gmbs,0.00024396
gm,0.000490906
gds,1.68317e-06
vdsat,1.90871
vth,0.770181
id,0.000692906
ibd,-3.30712e-12
ibs,-3.11844e-16
gbd,1.00825e-12
gbs,1.00012e-12
isub,1.96429e-14
igidl,0
igisl,0
igs,0
igd,0
igb,0
igcs,0
igcd,0
vbs,-0.000311808
vgs,3.29969
vds,3.29938
cgg,6.55389e-13
cgs,-6.61198e-13
cgd,-8.90832e-17
cbg,-1.12782e-13
cbd,-6.29438e-17
cbs,-1.67292e-13
cdg,-2.17099e-13
cdd,1.21152e-16
cds,3.31429e-13
csg,-3.25508e-13
csd,3.08753e-17
css,4.97061e-13
cgb,5.89814e-15
cdb,-1.14451e-13
csb,-1.71584e-13
cbb,2.80137e-13
capbd,1.47424e-14
capbs,2.19913e-14
qg,2.40054e-12
qb,-1.02809e-12
qd,-5.49039e-13
qs,-8.23411e-13
qinv,1.4065e-12
qdef,-0
gcrg,0
gtau,0
